title,fuel_type,mileage,power,origin,city,region,reg_month,reg_year,garanty,price_neg,price,link
Mercedes-Benz C 220 CDI Sport,Diesel,295000.0,125.0,Nacional,Cascais e Estoril,Lisboa,Setembro,2002.0,1,Negociável,9980.0,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-cdi-sport-ID8OIPKA.html#4c7834caf3
Kia Ceed SW 1.6 CRDi More Edtion,Diesel,158000.0,128.0,Nacional,"Torres Novas (Santa Maria, Salvador e Santiago)",Santarém,Junho,2013.0,1,Negociável,12500.0,https://www.standvirtual.com/anuncio/kia-ceed-sw-1-6-crdi-more-edtion-ID8ODQmi.html#4c7834caf3
Mercedes-Benz E 220 D Classic,Diesel,289373.0,95.0,,Mirandela,Bragança,Março,1996.0,1,Negociável,3270.0,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-d-classic-ID8Mjg3A.html#4c7834caf3
Hyundai i30 SW 1.4 CRDi Blue Active,Diesel,78112.0,90.0,Nacional,Ribeirão,Braga,Janeiro,2014.0,1,Negociável,11900.0,https://www.standvirtual.com/anuncio/hyundai-i30-sw-1-4-crdi-blue-active-ID8OIPmQ.html#4c7834caf3
Mercedes-Benz SLK 230 Kompressor,Gasolina,149600.0,193.0,,Mirandela,Bragança,Janeiro,1998.0,1,Valor Fixo,7999.0,https://www.standvirtual.com/anuncio/mercedes-benz-slk-230-kompressor-ID8LQHHA.html#4c7834caf3
Honda Accord Tourer 2.0 I-VTEC+L/R,Gasolina,288000.0,155.0,Nacional,"Perafita, Lavra e Santa Cruz do Bispo",Porto,Março,2003.0,1,Negociável,5490.0,https://www.standvirtual.com/anuncio/honda-accord-tourer-2-0-i-vtec-l-r-ID8MxmB0.html#4c7834caf3
Chevrolet Epica 2.0VCDI LT+UM/DONO+CX/AUTO,Diesel,161000.0,150.0,,"Perafita, Lavra e Santa Cruz do Bispo",Porto,Julho,2007.0,1,Negociável,6799.0,https://www.standvirtual.com/anuncio/chevrolet-epica-2-0vcdi-lt-um-dono-cx-auto-ID8OnmPw.html#4c7834caf3
MINI Cabrio Cooper D,Diesel,99500.0,112.0,,"Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",Porto,Setembro,2013.0,1,Negociável,15500.0,https://www.standvirtual.com/anuncio/mini-cabrio-cooper-d-ID8OIPJs.html#4c7834caf3
Toyota Auris 1.4 D-4D Comfort+Pack Sport,Diesel,128000.0,90.0,Nacional,"Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",Braga,Abril,2014.0,0,Negociável,12500.0,https://www.standvirtual.com/anuncio/toyota-auris-1-4-d-4d-comfort-pack-sport-ID8OIMfM.html#4c7834caf3
Citroën DS3,Diesel,118000.0,92.0,,Mirandela,Bragança,Agosto,2013.0,1,Negociável,11500.0,https://www.standvirtual.com/anuncio/citron-ds3-ID8MjglD.html#4c7834caf3
